Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 42.2 	 39.7 	 0.1000 	 1.8342 	 0.3430 	 1.4684 	 0.4704 	 0.2167 	 0.0768 	 0.0201 	 0.1582
1 	 42.7 	 40.2 	 0.1000 	 1.5026 	 0.4533 	 1.3824 	 0.5076 	 0.2793 	 0.1308 	 0.0539 	 0.2005
2 	 40.6 	 38.1 	 0.1000 	 1.3909 	 0.4976 	 1.3071 	 0.5191 	 0.3602 	 0.2035 	 0.0880 	 0.2554
3 	 40.2 	 37.7 	 0.1000 	 1.3071 	 0.5314 	 1.1476 	 0.5920 	 0.4079 	 0.2514 	 0.1295 	 0.2759
4 	 42.1 	 39.6 	 0.1000 	 1.2134 	 0.5692 	 1.1134 	 0.6054 	 0.4169 	 0.2713 	 0.1652 	 0.3034
5 	 44.0 	 41.3 	 0.1000 	 1.1589 	 0.5889 	 1.0692 	 0.6145 	 0.4549 	 0.3036 	 0.1758 	 0.3144
6 	 43.7 	 41.2 	 0.1000 	 1.1131 	 0.6040 	 1.0977 	 0.6136 	 0.4456 	 0.3001 	 0.1820 	 0.3261
7 	 44.6 	 42.0 	 0.1000 	 1.0901 	 0.6152 	 1.0367 	 0.6348 	 0.4883 	 0.3434 	 0.2187 	 0.3494
8 	 45.2 	 42.6 	 0.1000 	 1.0534 	 0.6263 	 1.0442 	 0.6345 	 0.4626 	 0.3030 	 0.1799 	 0.3132
9 	 43.8 	 41.2 	 0.1000 	 1.0305 	 0.6381 	 0.9427 	 0.6710 	 0.5199 	 0.3581 	 0.2187 	 0.3401
10 	 45.1 	 42.5 	 0.1000 	 1.0139 	 0.6436 	 0.9515 	 0.6669 	 0.5190 	 0.3714 	 0.2494 	 0.3682
11 	 45.0 	 42.0 	 0.1000 	 0.9980 	 0.6474 	 0.8981 	 0.6878 	 0.5338 	 0.3697 	 0.2397 	 0.3560
12 	 45.7 	 43.2 	 0.1000 	 0.9821 	 0.6553 	 0.9232 	 0.6777 	 0.5262 	 0.3765 	 0.2475 	 0.3687
13 	 44.8 	 42.3 	 0.1000 	 0.9829 	 0.6544 	 0.9874 	 0.6513 	 0.5238 	 0.3838 	 0.2577 	 0.3892
14 	 48.3 	 45.1 	 0.1000 	 0.9736 	 0.6601 	 0.9428 	 0.6669 	 0.5175 	 0.3697 	 0.2515 	 0.3787
15 	 45.7 	 43.3 	 0.1000 	 0.9689 	 0.6613 	 0.9712 	 0.6589 	 0.5191 	 0.3826 	 0.2533 	 0.3766
16 	 45.2 	 42.6 	 0.1000 	 0.9553 	 0.6679 	 0.9555 	 0.6719 	 0.5334 	 0.3979 	 0.2685 	 0.3905
17 	 50.3 	 47.2 	 0.1000 	 0.9581 	 0.6659 	 0.8658 	 0.7016 	 0.5545 	 0.3980 	 0.2636 	 0.3764
18 	 49.5 	 46.5 	 0.1000 	 0.9436 	 0.6703 	 0.9446 	 0.6719 	 0.5440 	 0.4047 	 0.2807 	 0.3980
19 	 54.0 	 50.9 	 0.1000 	 0.9414 	 0.6710 	 0.8611 	 0.7042 	 0.5533 	 0.4078 	 0.2713 	 0.3829
20 	 53.7 	 50.6 	 0.1000 	 0.9298 	 0.6741 	 0.8866 	 0.6893 	 0.5503 	 0.4008 	 0.2724 	 0.3905
21 	 53.2 	 50.1 	 0.1000 	 0.9326 	 0.6740 	 0.9034 	 0.6879 	 0.5353 	 0.3819 	 0.2440 	 0.3606
22 	 53.0 	 50.0 	 0.1000 	 0.9317 	 0.6748 	 0.8468 	 0.7084 	 0.5468 	 0.3863 	 0.2517 	 0.3622
23 	 53.8 	 50.6 	 0.1000 	 0.9240 	 0.6774 	 0.8767 	 0.6908 	 0.5399 	 0.3793 	 0.2420 	 0.3623
