Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 100.1 	 90.8 	 0.1000 	 1.8000 	 0.3554 	 1.5571 	 0.4641 	 0.2016 	 0.0572 	 0.0100 	 0.1452
1 	 96.8 	 87.2 	 0.1000 	 1.6004 	 0.4387 	 1.5231 	 0.4778 	 0.2201 	 0.0695 	 0.0165 	 0.1541
2 	 102.9 	 92.6 	 0.1000 	 1.5507 	 0.4609 	 1.5124 	 0.4765 	 0.2334 	 0.0691 	 0.0149 	 0.1585
3 	 106.0 	 95.6 	 0.1000 	 1.5342 	 0.4705 	 1.4629 	 0.5060 	 0.2503 	 0.0812 	 0.0161 	 0.1621
4 	 109.1 	 98.2 	 0.1000 	 1.5112 	 0.4817 	 1.4349 	 0.5135 	 0.2609 	 0.0830 	 0.0147 	 0.1624
5 	 111.8 	 101.3 	 0.1000 	 1.5028 	 0.4844 	 1.4651 	 0.4988 	 0.2391 	 0.0754 	 0.0155 	 0.1577
6 	 112.5 	 101.8 	 0.1000 	 1.4913 	 0.4894 	 1.4491 	 0.4978 	 0.2553 	 0.0864 	 0.0178 	 0.1674
7 	 113.2 	 102.3 	 0.1000 	 1.4868 	 0.4931 	 1.4263 	 0.5176 	 0.2732 	 0.1012 	 0.0184 	 0.1731
8 	 113.0 	 102.2 	 0.1000 	 1.4820 	 0.4928 	 1.4274 	 0.5197 	 0.2481 	 0.0871 	 0.0209 	 0.1605
9 	 113.1 	 102.4 	 0.1000 	 1.4794 	 0.4969 	 1.4417 	 0.5110 	 0.2468 	 0.0941 	 0.0197 	 0.1634
10 	 112.9 	 102.1 	 0.1000 	 1.4761 	 0.4981 	 1.4322 	 0.5134 	 0.2591 	 0.0902 	 0.0217 	 0.1673
11 	 112.8 	 101.3 	 0.1000 	 1.4706 	 0.5005 	 1.4296 	 0.5127 	 0.2771 	 0.1068 	 0.0228 	 0.1773
12 	 112.8 	 102.2 	 0.1000 	 1.4694 	 0.4996 	 1.4088 	 0.5285 	 0.2705 	 0.0956 	 0.0225 	 0.1680
13 	 112.8 	 102.2 	 0.1000 	 1.4736 	 0.5012 	 1.4011 	 0.5205 	 0.2530 	 0.0952 	 0.0227 	 0.1660
14 	 114.5 	 102.1 	 0.1000 	 1.4758 	 0.4975 	 1.4068 	 0.5253 	 0.2595 	 0.0924 	 0.0172 	 0.1643
15 	 120.0 	 106.9 	 0.1000 	 1.4731 	 0.5022 	 1.4384 	 0.5061 	 0.2558 	 0.1011 	 0.0276 	 0.1742
16 	 119.2 	 106.9 	 0.1000 	 1.4728 	 0.5035 	 1.4323 	 0.5181 	 0.2666 	 0.0965 	 0.0211 	 0.1693
17 	 119.2 	 106.1 	 0.1000 	 1.4724 	 0.5003 	 1.4262 	 0.5225 	 0.2535 	 0.0830 	 0.0172 	 0.1604
18 	 120.2 	 106.1 	 0.1000 	 1.4688 	 0.5018 	 1.4316 	 0.5066 	 0.2809 	 0.1227 	 0.0354 	 0.1892
19 	 122.3 	 108.4 	 0.1000 	 1.4730 	 0.5016 	 1.4187 	 0.5179 	 0.2620 	 0.0918 	 0.0186 	 0.1670
20 	 120.3 	 107.2 	 0.1000 	 1.4626 	 0.5054 	 1.4069 	 0.5192 	 0.2681 	 0.0982 	 0.0219 	 0.1705
21 	 119.5 	 106.3 	 0.1000 	 1.4670 	 0.5051 	 1.4187 	 0.5271 	 0.2613 	 0.0888 	 0.0187 	 0.1634
