Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 81.1 	 71.4 	 0.1000 	 1.8113 	 0.3526 	 1.4750 	 0.4747 	 0.2436 	 0.0994 	 0.0298 	 0.1776
1 	 81.7 	 72.1 	 0.1000 	 1.5119 	 0.4581 	 1.3529 	 0.5236 	 0.2948 	 0.1383 	 0.0541 	 0.2025
2 	 80.4 	 70.7 	 0.1000 	 1.4198 	 0.4949 	 1.3215 	 0.5312 	 0.3378 	 0.1790 	 0.0715 	 0.2299
3 	 81.1 	 71.6 	 0.1000 	 1.3750 	 0.5121 	 1.2503 	 0.5616 	 0.3529 	 0.1929 	 0.0823 	 0.2352
4 	 78.9 	 69.6 	 0.1000 	 1.3247 	 0.5349 	 1.2515 	 0.5634 	 0.3385 	 0.1769 	 0.0875 	 0.2303
5 	 80.2 	 70.6 	 0.1000 	 1.2944 	 0.5448 	 1.2223 	 0.5741 	 0.3616 	 0.1950 	 0.0848 	 0.2330
6 	 81.5 	 71.6 	 0.1000 	 1.2658 	 0.5603 	 1.2121 	 0.5713 	 0.3843 	 0.2272 	 0.1111 	 0.2605
7 	 81.8 	 72.0 	 0.1000 	 1.2465 	 0.5659 	 1.1247 	 0.6096 	 0.4124 	 0.2410 	 0.1204 	 0.2620
8 	 82.1 	 72.4 	 0.1000 	 1.2277 	 0.5732 	 1.1842 	 0.5863 	 0.3803 	 0.2004 	 0.0894 	 0.2370
9 	 82.5 	 72.5 	 0.1000 	 1.2151 	 0.5806 	 1.1210 	 0.6202 	 0.4157 	 0.2350 	 0.1154 	 0.2555
10 	 82.6 	 72.9 	 0.1000 	 1.2077 	 0.5804 	 1.1391 	 0.6090 	 0.4049 	 0.2331 	 0.1150 	 0.2574
11 	 82.9 	 73.1 	 0.1000 	 1.1910 	 0.5881 	 1.0891 	 0.6322 	 0.4250 	 0.2505 	 0.1235 	 0.2628
