Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 96.7 	 87.3 	 0.1000 	 1.8121 	 0.3543 	 1.4564 	 0.4802 	 0.2464 	 0.1058 	 0.0356 	 0.1815
1 	 97.4 	 87.9 	 0.1000 	 1.5196 	 0.4559 	 1.3787 	 0.5115 	 0.3030 	 0.1477 	 0.0621 	 0.2137
2 	 97.9 	 88.5 	 0.1000 	 1.4375 	 0.4885 	 1.3233 	 0.5284 	 0.3397 	 0.1802 	 0.0761 	 0.2364
3 	 98.0 	 88.5 	 0.1000 	 1.3886 	 0.5095 	 1.2600 	 0.5583 	 0.3614 	 0.1956 	 0.0892 	 0.2415
4 	 98.0 	 88.6 	 0.1000 	 1.3325 	 0.5333 	 1.2465 	 0.5645 	 0.3452 	 0.1893 	 0.0953 	 0.2393
5 	 100.1 	 90.4 	 0.1000 	 1.2994 	 0.5437 	 1.2172 	 0.5723 	 0.3716 	 0.2067 	 0.0920 	 0.2428
6 	 100.9 	 91.1 	 0.1000 	 1.2685 	 0.5585 	 1.1838 	 0.5883 	 0.3918 	 0.2266 	 0.1067 	 0.2554
7 	 101.5 	 91.9 	 0.1000 	 1.2473 	 0.5643 	 1.1364 	 0.6120 	 0.4075 	 0.2403 	 0.1249 	 0.2627
8 	 101.9 	 92.2 	 0.1000 	 1.2292 	 0.5716 	 1.1522 	 0.6036 	 0.3942 	 0.2240 	 0.1071 	 0.2497
9 	 102.9 	 92.3 	 0.1000 	 1.2144 	 0.5787 	 1.1277 	 0.6146 	 0.4200 	 0.2503 	 0.1307 	 0.2688
10 	 101.8 	 92.2 	 0.1000 	 1.2076 	 0.5842 	 1.1498 	 0.5994 	 0.4048 	 0.2380 	 0.1207 	 0.2635
11 	 102.6 	 92.7 	 0.1000 	 1.1915 	 0.5891 	 1.0834 	 0.6356 	 0.4289 	 0.2528 	 0.1267 	 0.2648
12 	 102.4 	 92.8 	 0.1000 	 1.1799 	 0.5940 	 1.1155 	 0.6193 	 0.4173 	 0.2515 	 0.1357 	 0.2726
13 	 102.9 	 92.9 	 0.1000 	 1.1865 	 0.5920 	 1.0934 	 0.6259 	 0.4390 	 0.2758 	 0.1516 	 0.2898
14 	 103.3 	 93.4 	 0.1000 	 1.1765 	 0.5964 	 1.1287 	 0.6113 	 0.4180 	 0.2529 	 0.1315 	 0.2729
15 	 103.1 	 93.3 	 0.1000 	 1.1687 	 0.5990 	 1.1301 	 0.6112 	 0.4242 	 0.2650 	 0.1457 	 0.2834
