Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 79.2 	 71.4 	 0.1000 	 1.8281 	 0.3483 	 1.6003 	 0.4485 	 0.1769 	 0.0423 	 0.0061 	 0.1317
1 	 80.0 	 72.0 	 0.1000 	 1.6504 	 0.4254 	 1.5983 	 0.4451 	 0.2023 	 0.0664 	 0.0149 	 0.1532
2 	 80.8 	 72.8 	 0.1000 	 1.5978 	 0.4483 	 1.5107 	 0.4889 	 0.2143 	 0.0605 	 0.0123 	 0.1474
3 	 81.3 	 73.2 	 0.1000 	 1.5735 	 0.4605 	 1.5051 	 0.4860 	 0.2398 	 0.0766 	 0.0147 	 0.1625
4 	 81.4 	 73.5 	 0.1000 	 1.5517 	 0.4720 	 1.4837 	 0.5040 	 0.2297 	 0.0637 	 0.0114 	 0.1500
5 	 82.8 	 74.9 	 0.1000 	 1.5398 	 0.4767 	 1.4983 	 0.4947 	 0.2234 	 0.0660 	 0.0110 	 0.1492
6 	 84.2 	 76.0 	 0.1000 	 1.5326 	 0.4811 	 1.4788 	 0.4960 	 0.2380 	 0.0714 	 0.0136 	 0.1569
7 	 85.3 	 76.8 	 0.1000 	 1.5353 	 0.4836 	 1.4638 	 0.5161 	 0.2589 	 0.0876 	 0.0165 	 0.1637
8 	 85.3 	 77.0 	 0.1000 	 1.5328 	 0.4857 	 1.4807 	 0.5128 	 0.2264 	 0.0698 	 0.0099 	 0.1472
9 	 86.2 	 78.0 	 0.1000 	 1.5373 	 0.4870 	 1.5059 	 0.4971 	 0.2281 	 0.0762 	 0.0121 	 0.1537
10 	 87.3 	 78.8 	 0.1000 	 1.5367 	 0.4877 	 1.4949 	 0.5052 	 0.2341 	 0.0711 	 0.0168 	 0.1547
11 	 87.1 	 78.7 	 0.1000 	 1.5382 	 0.4886 	 1.5030 	 0.5102 	 0.2326 	 0.0709 	 0.0121 	 0.1524
12 	 87.4 	 79.0 	 0.1000 	 1.5434 	 0.4840 	 1.5137 	 0.5077 	 0.2235 	 0.0577 	 0.0099 	 0.1454
13 	 88.5 	 79.9 	 0.1000 	 1.5499 	 0.4851 	 1.5129 	 0.5022 	 0.2027 	 0.0513 	 0.0083 	 0.1360
14 	 88.0 	 79.6 	 0.1000 	 1.5522 	 0.4817 	 1.4932 	 0.5240 	 0.2225 	 0.0613 	 0.0085 	 0.1414
15 	 88.9 	 80.6 	 0.1000 	 1.5543 	 0.4846 	 1.5360 	 0.4902 	 0.2077 	 0.0580 	 0.0114 	 0.1428
16 	 88.2 	 79.5 	 0.1000 	 1.5571 	 0.4864 	 1.5226 	 0.5012 	 0.2267 	 0.0639 	 0.0100 	 0.1477
17 	 89.2 	 80.7 	 0.1000 	 1.5601 	 0.4818 	 1.5308 	 0.5035 	 0.2070 	 0.0520 	 0.0085 	 0.1372
18 	 88.9 	 80.6 	 0.1000 	 1.5611 	 0.4833 	 1.5111 	 0.4993 	 0.2290 	 0.0701 	 0.0128 	 0.1531
19 	 89.4 	 80.3 	 0.1000 	 1.5673 	 0.4809 	 1.5269 	 0.5033 	 0.2074 	 0.0511 	 0.0066 	 0.1372
20 	 89.0 	 80.4 	 0.1000 	 1.5564 	 0.4880 	 1.5255 	 0.5010 	 0.2035 	 0.0600 	 0.0096 	 0.1392
21 	 90.0 	 81.0 	 0.1000 	 1.5629 	 0.4848 	 1.5256 	 0.5086 	 0.2019 	 0.0509 	 0.0087 	 0.1358
22 	 88.9 	 80.1 	 0.1000 	 1.5663 	 0.4801 	 1.5591 	 0.4633 	 0.2234 	 0.0712 	 0.0144 	 0.1581
23 	 90.0 	 81.4 	 0.1000 	 1.5604 	 0.4883 	 1.5054 	 0.5116 	 0.2315 	 0.0673 	 0.0113 	 0.1491
24 	 89.7 	 80.7 	 0.1000 	 1.5635 	 0.4859 	 1.5176 	 0.5065 	 0.2267 	 0.0580 	 0.0068 	 0.1453
25 	 90.0 	 81.3 	 0.1000 	 1.5604 	 0.4882 	 1.5370 	 0.4871 	 0.1970 	 0.0476 	 0.0061 	 0.1352
26 	 89.2 	 80.7 	 0.1000 	 1.5627 	 0.4877 	 1.5166 	 0.5122 	 0.2104 	 0.0480 	 0.0051 	 0.1361
27 	 90.2 	 81.5 	 0.1000 	 1.5661 	 0.4848 	 1.5144 	 0.5127 	 0.2240 	 0.0549 	 0.0067 	 0.1421
28 	 89.8 	 81.2 	 0.1000 	 1.5640 	 0.4843 	 1.5691 	 0.4797 	 0.1959 	 0.0513 	 0.0079 	 0.1364
29 	 90.2 	 81.3 	 0.1000 	 1.5646 	 0.4883 	 1.5746 	 0.4708 	 0.2084 	 0.0635 	 0.0096 	 0.1471
30 	 89.9 	 81.2 	 0.1000 	 1.5653 	 0.4875 	 1.5163 	 0.5118 	 0.2216 	 0.0559 	 0.0052 	 0.1410
31 	 89.6 	 80.9 	 0.1000 	 1.5643 	 0.4855 	 1.5099 	 0.5172 	 0.2223 	 0.0573 	 0.0071 	 0.1407
32 	 89.7 	 81.0 	 0.1000 	 1.5624 	 0.4881 	 1.5612 	 0.4838 	 0.2048 	 0.0702 	 0.0127 	 0.1472
33 	 90.7 	 81.9 	 0.1000 	 1.5636 	 0.4882 	 1.5400 	 0.5025 	 0.2017 	 0.0423 	 0.0046 	 0.1310
34 	 89.5 	 80.9 	 0.1000 	 1.5663 	 0.4871 	 1.5182 	 0.5196 	 0.2254 	 0.0537 	 0.0054 	 0.1406
35 	 89.7 	 81.1 	 0.1000 	 1.5617 	 0.4901 	 1.5237 	 0.5059 	 0.2229 	 0.0575 	 0.0078 	 0.1433
36 	 90.0 	 81.5 	 0.1000 	 1.5643 	 0.4884 	 1.5138 	 0.5097 	 0.2230 	 0.0576 	 0.0086 	 0.1432
37 	 89.8 	 81.1 	 0.1000 	 1.5650 	 0.4874 	 1.5432 	 0.4941 	 0.2177 	 0.0521 	 0.0091 	 0.1423
38 	 90.5 	 81.9 	 0.1000 	 1.5676 	 0.4902 	 1.5445 	 0.4804 	 0.2241 	 0.0710 	 0.0099 	 0.1530
39 	 89.9 	 81.4 	 0.1000 	 1.5667 	 0.4874 	 1.5225 	 0.5136 	 0.2213 	 0.0509 	 0.0065 	 0.1406
40 	 90.4 	 81.7 	 0.1000 	 1.5624 	 0.4908 	 1.5611 	 0.4681 	 0.1969 	 0.0601 	 0.0078 	 0.1429
41 	 90.0 	 81.3 	 0.1000 	 1.5689 	 0.4865 	 1.5329 	 0.5132 	 0.2081 	 0.0573 	 0.0097 	 0.1385
42 	 90.9 	 82.1 	 0.1000 	 1.5682 	 0.4880 	 1.5426 	 0.5090 	 0.2237 	 0.0587 	 0.0091 	 0.1446
43 	 90.5 	 82.0 	 0.1000 	 1.5697 	 0.4881 	 1.5442 	 0.4895 	 0.2282 	 0.0660 	 0.0089 	 0.1508
44 	 89.9 	 81.3 	 0.1000 	 1.5719 	 0.4854 	 1.5195 	 0.5128 	 0.2237 	 0.0647 	 0.0088 	 0.1442
45 	 90.4 	 81.5 	 0.1000 	 1.5685 	 0.4902 	 1.5443 	 0.5134 	 0.2155 	 0.0474 	 0.0043 	 0.1362
46 	 90.3 	 81.7 	 0.1000 	 1.5689 	 0.4887 	 1.5347 	 0.5043 	 0.2052 	 0.0471 	 0.0064 	 0.1358
47 	 89.6 	 80.9 	 0.1000 	 1.5681 	 0.4851 	 1.5607 	 0.4827 	 0.2022 	 0.0626 	 0.0103 	 0.1425
48 	 90.4 	 81.8 	 0.1000 	 1.5661 	 0.4885 	 1.5494 	 0.4847 	 0.2110 	 0.0549 	 0.0049 	 0.1424
49 	 90.4 	 81.3 	 0.0100 	 1.5657 	 0.4909 	 1.5401 	 0.4888 	 0.2164 	 0.0615 	 0.0093 	 0.1468
50 	 90.0 	 81.2 	 0.0100 	 1.5174 	 0.5237 	 1.4894 	 0.5378 	 0.2328 	 0.0585 	 0.0073 	 0.1406
51 	 89.8 	 81.2 	 0.0100 	 1.5103 	 0.5318 	 1.4820 	 0.5407 	 0.2321 	 0.0617 	 0.0098 	 0.1428
52 	 90.8 	 82.4 	 0.0100 	 1.5110 	 0.5339 	 1.4911 	 0.5409 	 0.2213 	 0.0538 	 0.0082 	 0.1365
53 	 90.0 	 81.3 	 0.0100 	 1.5114 	 0.5338 	 1.4888 	 0.5425 	 0.2278 	 0.0609 	 0.0088 	 0.1399
54 	 90.5 	 82.0 	 0.0100 	 1.5108 	 0.5331 	 1.4888 	 0.5383 	 0.2285 	 0.0550 	 0.0071 	 0.1380
55 	 89.8 	 81.1 	 0.0100 	 1.5140 	 0.5323 	 1.4903 	 0.5373 	 0.2310 	 0.0553 	 0.0070 	 0.1392
56 	 90.0 	 81.3 	 0.0100 	 1.5154 	 0.5323 	 1.4884 	 0.5479 	 0.2269 	 0.0530 	 0.0078 	 0.1365
57 	 89.9 	 81.2 	 0.0100 	 1.5145 	 0.5329 	 1.4885 	 0.5393 	 0.2236 	 0.0561 	 0.0079 	 0.1380
58 	 89.9 	 81.3 	 0.0100 	 1.5162 	 0.5339 	 1.4893 	 0.5431 	 0.2240 	 0.0500 	 0.0064 	 0.1356
59 	 89.8 	 81.0 	 0.0100 	 1.5189 	 0.5319 	 1.4898 	 0.5458 	 0.2216 	 0.0492 	 0.0058 	 0.1342
60 	 89.8 	 80.9 	 0.0100 	 1.5187 	 0.5324 	 1.4937 	 0.5402 	 0.2229 	 0.0528 	 0.0083 	 0.1370
61 	 89.9 	 81.3 	 0.0100 	 1.5197 	 0.5318 	 1.4893 	 0.5521 	 0.2177 	 0.0468 	 0.0067 	 0.1316
62 	 89.4 	 80.7 	 0.0100 	 1.5202 	 0.5319 	 1.4961 	 0.5370 	 0.2259 	 0.0538 	 0.0063 	 0.1378
63 	 89.7 	 81.2 	 0.0100 	 1.5223 	 0.5306 	 1.4997 	 0.5456 	 0.2157 	 0.0491 	 0.0072 	 0.1326
64 	 89.9 	 81.2 	 0.0100 	 1.5228 	 0.5314 	 1.4961 	 0.5307 	 0.2387 	 0.0634 	 0.0086 	 0.1460
65 	 90.2 	 81.5 	 0.0100 	 1.5248 	 0.5301 	 1.4862 	 0.5399 	 0.2268 	 0.0631 	 0.0091 	 0.1408
66 	 89.2 	 80.9 	 0.0100 	 1.5242 	 0.5307 	 1.4906 	 0.5489 	 0.2246 	 0.0543 	 0.0057 	 0.1365
67 	 90.0 	 81.5 	 0.0100 	 1.5250 	 0.5310 	 1.4945 	 0.5442 	 0.2381 	 0.0598 	 0.0092 	 0.1419
68 	 89.5 	 81.1 	 0.0100 	 1.5276 	 0.5302 	 1.4930 	 0.5460 	 0.2262 	 0.0486 	 0.0067 	 0.1353
69 	 90.0 	 81.1 	 0.0100 	 1.5274 	 0.5304 	 1.4954 	 0.5429 	 0.2298 	 0.0541 	 0.0068 	 0.1383
70 	 89.4 	 81.0 	 0.0100 	 1.5283 	 0.5267 	 1.5023 	 0.5320 	 0.2186 	 0.0523 	 0.0061 	 0.1364
71 	 90.2 	 81.8 	 0.0100 	 1.5297 	 0.5300 	 1.5053 	 0.5421 	 0.2160 	 0.0504 	 0.0072 	 0.1341
72 	 89.9 	 81.2 	 0.0100 	 1.5304 	 0.5296 	 1.4929 	 0.5422 	 0.2326 	 0.0629 	 0.0087 	 0.1418
73 	 89.7 	 81.1 	 0.0100 	 1.5327 	 0.5305 	 1.5068 	 0.5294 	 0.2252 	 0.0591 	 0.0059 	 0.1401
74 	 89.8 	 81.2 	 0.0010 	 1.5328 	 0.5288 	 1.5126 	 0.5298 	 0.2245 	 0.0579 	 0.0106 	 0.1405
75 	 89.8 	 81.3 	 0.0010 	 1.5129 	 0.5390 	 1.4880 	 0.5537 	 0.2227 	 0.0503 	 0.0073 	 0.1336
76 	 89.9 	 81.3 	 0.0010 	 1.5157 	 0.5444 	 1.4971 	 0.5450 	 0.2191 	 0.0533 	 0.0081 	 0.1351
77 	 89.7 	 81.1 	 0.0010 	 1.5181 	 0.5442 	 1.4920 	 0.5491 	 0.2250 	 0.0559 	 0.0078 	 0.1367
78 	 90.8 	 82.0 	 0.0010 	 1.5183 	 0.5432 	 1.4945 	 0.5489 	 0.2223 	 0.0512 	 0.0071 	 0.1343
79 	 89.5 	 80.6 	 0.0010 	 1.5187 	 0.5437 	 1.4939 	 0.5501 	 0.2230 	 0.0543 	 0.0082 	 0.1354
80 	 90.5 	 81.4 	 0.0010 	 1.5206 	 0.5430 	 1.4964 	 0.5481 	 0.2201 	 0.0530 	 0.0077 	 0.1345
81 	 90.1 	 81.4 	 0.0010 	 1.5218 	 0.5433 	 1.4999 	 0.5479 	 0.2161 	 0.0499 	 0.0077 	 0.1325
82 	 89.8 	 81.1 	 0.0010 	 1.5195 	 0.5430 	 1.4946 	 0.5491 	 0.2238 	 0.0518 	 0.0074 	 0.1351
83 	 89.8 	 81.1 	 0.0010 	 1.5202 	 0.5424 	 1.4961 	 0.5459 	 0.2256 	 0.0548 	 0.0071 	 0.1360
84 	 89.9 	 81.2 	 0.0010 	 1.5200 	 0.5441 	 1.4946 	 0.5514 	 0.2227 	 0.0527 	 0.0078 	 0.1345
85 	 89.9 	 80.9 	 0.0010 	 1.5206 	 0.5436 	 1.4906 	 0.5472 	 0.2265 	 0.0559 	 0.0079 	 0.1368
86 	 89.2 	 80.6 	 0.0010 	 1.5204 	 0.5446 	 1.4943 	 0.5475 	 0.2230 	 0.0544 	 0.0090 	 0.1363
87 	 89.7 	 81.2 	 0.0010 	 1.5220 	 0.5435 	 1.4912 	 0.5503 	 0.2246 	 0.0544 	 0.0078 	 0.1358
88 	 89.7 	 81.0 	 0.0010 	 1.5200 	 0.5443 	 1.4963 	 0.5478 	 0.2209 	 0.0553 	 0.0081 	 0.1356
89 	 89.5 	 80.4 	 0.0010 	 1.5228 	 0.5413 	 1.4956 	 0.5504 	 0.2241 	 0.0545 	 0.0078 	 0.1355
90 	 89.2 	 80.6 	 0.0010 	 1.5224 	 0.5425 	 1.4961 	 0.5510 	 0.2252 	 0.0551 	 0.0081 	 0.1360
91 	 89.9 	 81.4 	 0.0010 	 1.5228 	 0.5414 	 1.4923 	 0.5509 	 0.2252 	 0.0538 	 0.0074 	 0.1358
92 	 89.1 	 80.4 	 0.0010 	 1.5218 	 0.5427 	 1.4914 	 0.5526 	 0.2254 	 0.0563 	 0.0077 	 0.1363
93 	 89.6 	 81.0 	 0.0010 	 1.5210 	 0.5443 	 1.4969 	 0.5518 	 0.2238 	 0.0534 	 0.0078 	 0.1347
94 	 90.0 	 81.4 	 0.0010 	 1.5233 	 0.5427 	 1.4963 	 0.5533 	 0.2212 	 0.0541 	 0.0078 	 0.1345
95 	 89.9 	 81.2 	 0.0010 	 1.5227 	 0.5438 	 1.4983 	 0.5473 	 0.2240 	 0.0554 	 0.0074 	 0.1356
96 	 89.8 	 81.1 	 0.0010 	 1.5245 	 0.5422 	 1.4945 	 0.5544 	 0.2241 	 0.0533 	 0.0076 	 0.1343
