Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 37.0 	 34.6 	 0.1000 	 1.8324 	 0.3443 	 1.4972 	 0.4655 	 0.2024 	 0.0719 	 0.0170 	 0.1525
1 	 35.8 	 33.4 	 0.1000 	 1.4982 	 0.4541 	 1.3727 	 0.5113 	 0.2711 	 0.1245 	 0.0462 	 0.1925
2 	 37.4 	 35.0 	 0.1000 	 1.3780 	 0.5031 	 1.2794 	 0.5305 	 0.3636 	 0.2065 	 0.0912 	 0.2545
3 	 39.0 	 36.5 	 0.1000 	 1.2895 	 0.5401 	 1.1618 	 0.5859 	 0.4168 	 0.2633 	 0.1336 	 0.2858
4 	 37.0 	 34.6 	 0.1000 	 1.1997 	 0.5732 	 1.1054 	 0.6094 	 0.4181 	 0.2721 	 0.1631 	 0.2994
5 	 36.8 	 34.4 	 0.1000 	 1.1484 	 0.5946 	 1.0760 	 0.6135 	 0.4565 	 0.3086 	 0.1861 	 0.3267
6 	 36.7 	 34.3 	 0.1000 	 1.1028 	 0.6103 	 1.0560 	 0.6267 	 0.4704 	 0.3210 	 0.1974 	 0.3371
7 	 38.3 	 35.9 	 0.1000 	 1.0848 	 0.6170 	 1.0382 	 0.6354 	 0.4958 	 0.3587 	 0.2343 	 0.3580
8 	 37.6 	 35.5 	 0.1000 	 1.0511 	 0.6288 	 1.0095 	 0.6442 	 0.4739 	 0.3141 	 0.1963 	 0.3270
9 	 38.8 	 36.4 	 0.1000 	 1.0313 	 0.6368 	 0.9439 	 0.6698 	 0.5233 	 0.3593 	 0.2188 	 0.3397
10 	 36.5 	 34.3 	 0.1000 	 1.0146 	 0.6428 	 0.9278 	 0.6767 	 0.5215 	 0.3728 	 0.2440 	 0.3582
11 	 36.4 	 34.3 	 0.1000 	 1.0024 	 0.6459 	 0.9297 	 0.6720 	 0.5204 	 0.3707 	 0.2399 	 0.3588
12 	 37.6 	 35.3 	 0.1000 	 0.9829 	 0.6552 	 0.9188 	 0.6775 	 0.5259 	 0.3759 	 0.2464 	 0.3640
13 	 38.1 	 35.7 	 0.1000 	 0.9850 	 0.6540 	 0.9554 	 0.6693 	 0.5313 	 0.3920 	 0.2673 	 0.3896
14 	 38.0 	 35.8 	 0.1000 	 0.9724 	 0.6606 	 0.9357 	 0.6673 	 0.5100 	 0.3717 	 0.2558 	 0.3796
15 	 37.5 	 35.3 	 0.1000 	 0.9654 	 0.6613 	 0.9301 	 0.6728 	 0.5279 	 0.3778 	 0.2444 	 0.3627
16 	 37.8 	 35.3 	 0.1000 	 0.9603 	 0.6650 	 0.9108 	 0.6819 	 0.5611 	 0.4243 	 0.2896 	 0.4050
17 	 37.8 	 35.5 	 0.1000 	 0.9549 	 0.6669 	 0.8851 	 0.6920 	 0.5458 	 0.3927 	 0.2613 	 0.3717
18 	 37.7 	 35.5 	 0.1000 	 0.9436 	 0.6693 	 0.9757 	 0.6637 	 0.5380 	 0.4127 	 0.2862 	 0.4088
19 	 36.7 	 34.3 	 0.1000 	 0.9446 	 0.6732 	 0.8466 	 0.7070 	 0.5621 	 0.4065 	 0.2673 	 0.3729
20 	 38.4 	 36.3 	 0.1000 	 0.9376 	 0.6704 	 0.8825 	 0.6959 	 0.5517 	 0.4033 	 0.2760 	 0.3848
21 	 38.6 	 36.4 	 0.1000 	 0.9339 	 0.6743 	 0.9177 	 0.6831 	 0.5373 	 0.3914 	 0.2565 	 0.3723
22 	 37.2 	 35.0 	 0.1000 	 0.9324 	 0.6758 	 0.8330 	 0.7148 	 0.5558 	 0.3943 	 0.2590 	 0.3644
23 	 38.0 	 35.7 	 0.1000 	 0.9251 	 0.6783 	 0.9070 	 0.6757 	 0.5256 	 0.3679 	 0.2430 	 0.3651
24 	 38.2 	 36.0 	 0.1000 	 0.9289 	 0.6749 	 0.9098 	 0.6838 	 0.5348 	 0.3869 	 0.2641 	 0.3803
25 	 36.9 	 34.8 	 0.1000 	 0.9181 	 0.6784 	 0.8596 	 0.7014 	 0.5468 	 0.3816 	 0.2471 	 0.3618
26 	 37.0 	 34.9 	 0.1000 	 0.9146 	 0.6821 	 0.8564 	 0.7061 	 0.5538 	 0.3974 	 0.2519 	 0.3673
27 	 36.8 	 34.6 	 0.1000 	 0.9198 	 0.6803 	 0.9051 	 0.6839 	 0.5442 	 0.3956 	 0.2592 	 0.3722
28 	 37.6 	 35.5 	 0.1000 	 0.9145 	 0.6798 	 0.8666 	 0.6906 	 0.5572 	 0.4066 	 0.2787 	 0.3943
29 	 37.3 	 35.2 	 0.1000 	 0.9140 	 0.6821 	 0.9326 	 0.6719 	 0.5288 	 0.3949 	 0.2704 	 0.3882
30 	 37.5 	 35.2 	 0.1000 	 0.9129 	 0.6845 	 0.8469 	 0.7052 	 0.5612 	 0.4091 	 0.2730 	 0.3839
31 	 37.8 	 35.6 	 0.1000 	 0.9038 	 0.6870 	 0.8554 	 0.7035 	 0.5458 	 0.3911 	 0.2571 	 0.3693
32 	 37.7 	 35.6 	 0.1000 	 0.9101 	 0.6844 	 0.8933 	 0.6916 	 0.5457 	 0.3944 	 0.2498 	 0.3650
33 	 38.3 	 35.9 	 0.1000 	 0.9085 	 0.6843 	 0.8260 	 0.7126 	 0.5678 	 0.4116 	 0.2725 	 0.3784
34 	 37.3 	 35.2 	 0.1000 	 0.9045 	 0.6874 	 0.8381 	 0.7076 	 0.5666 	 0.4274 	 0.2981 	 0.4042
35 	 38.0 	 35.7 	 0.1000 	 0.9029 	 0.6874 	 0.8699 	 0.7031 	 0.5625 	 0.4104 	 0.2776 	 0.3855
36 	 37.7 	 35.5 	 0.1000 	 0.9054 	 0.6871 	 0.8470 	 0.7024 	 0.5630 	 0.4137 	 0.2781 	 0.3910
37 	 38.5 	 36.4 	 0.1000 	 0.9026 	 0.6879 	 0.8719 	 0.6925 	 0.5412 	 0.3922 	 0.2609 	 0.3705
38 	 37.4 	 35.3 	 0.1000 	 0.9072 	 0.6834 	 0.8563 	 0.6960 	 0.5563 	 0.4123 	 0.2796 	 0.3967
39 	 36.5 	 34.2 	 0.1000 	 0.8924 	 0.6909 	 0.8449 	 0.7108 	 0.5600 	 0.4081 	 0.2751 	 0.3859
40 	 37.6 	 35.4 	 0.1000 	 0.9008 	 0.6883 	 0.8442 	 0.7097 	 0.5585 	 0.4125 	 0.2743 	 0.3788
41 	 37.4 	 35.2 	 0.1000 	 0.9011 	 0.6876 	 0.8623 	 0.7020 	 0.5670 	 0.4191 	 0.2883 	 0.4012
42 	 37.4 	 35.2 	 0.1000 	 0.8933 	 0.6916 	 0.8595 	 0.6979 	 0.5671 	 0.4341 	 0.3069 	 0.4151
43 	 37.4 	 35.2 	 0.1000 	 0.8985 	 0.6900 	 0.8622 	 0.6960 	 0.5645 	 0.4305 	 0.3015 	 0.4090
44 	 36.8 	 34.7 	 0.1000 	 0.8998 	 0.6888 	 0.8669 	 0.6993 	 0.5593 	 0.4074 	 0.2763 	 0.3905
45 	 38.0 	 35.8 	 0.1000 	 0.8869 	 0.6934 	 0.8537 	 0.7009 	 0.5651 	 0.4124 	 0.2748 	 0.3867
46 	 37.9 	 35.6 	 0.1000 	 0.8931 	 0.6906 	 0.8367 	 0.7170 	 0.5742 	 0.4233 	 0.2912 	 0.3918
47 	 37.3 	 35.2 	 0.1000 	 0.8970 	 0.6875 	 0.8371 	 0.7122 	 0.5649 	 0.4009 	 0.2619 	 0.3662
48 	 37.3 	 35.1 	 0.1000 	 0.8862 	 0.6932 	 0.8350 	 0.7041 	 0.5659 	 0.4265 	 0.2925 	 0.4016
49 	 38.5 	 34.6 	 0.0100 	 0.8905 	 0.6919 	 1.7535 	 0.3791 	 0.1889 	 0.0749 	 0.0223 	 0.1722
50 	 71.8 	 68.0 	 0.0100 	 1.1837 	 0.6407 	 1.0640 	 0.6654 	 0.4317 	 0.2359 	 0.1042 	 0.2395
51 	 73.8 	 69.8 	 0.0100 	 1.1090 	 0.6535 	 1.0289 	 0.6672 	 0.4578 	 0.2703 	 0.1307 	 0.2624
52 	 73.3 	 69.3 	 0.0100 	 1.1021 	 0.6464 	 1.0976 	 0.6123 	 0.4515 	 0.2982 	 0.1638 	 0.3037
53 	 75.0 	 70.9 	 0.0100 	 1.1035 	 0.6403 	 1.0247 	 0.6713 	 0.4494 	 0.2604 	 0.1244 	 0.2576
54 	 75.2 	 71.2 	 0.0100 	 1.0968 	 0.6405 	 1.0363 	 0.6594 	 0.4562 	 0.2654 	 0.1401 	 0.2702
55 	 73.1 	 69.0 	 0.0100 	 1.0875 	 0.6453 	 1.0044 	 0.6837 	 0.4659 	 0.2741 	 0.1438 	 0.2692
56 	 71.7 	 67.9 	 0.0100 	 1.0878 	 0.6417 	 0.9964 	 0.6745 	 0.4717 	 0.2908 	 0.1507 	 0.2799
57 	 71.7 	 67.8 	 0.0100 	 1.0757 	 0.6477 	 1.0194 	 0.6601 	 0.4643 	 0.2850 	 0.1465 	 0.2760
58 	 72.9 	 69.0 	 0.0100 	 1.0780 	 0.6468 	 0.9945 	 0.6788 	 0.4671 	 0.2808 	 0.1429 	 0.2706
59 	 72.4 	 68.6 	 0.0100 	 1.0604 	 0.6512 	 0.9840 	 0.6747 	 0.4748 	 0.2846 	 0.1390 	 0.2738
60 	 72.4 	 68.6 	 0.0100 	 1.0656 	 0.6490 	 1.0057 	 0.6674 	 0.4790 	 0.2953 	 0.1627 	 0.2914
61 	 71.2 	 67.4 	 0.0100 	 1.0574 	 0.6504 	 1.0350 	 0.6447 	 0.4585 	 0.2730 	 0.1404 	 0.2758
62 	 70.7 	 66.9 	 0.0100 	 1.0482 	 0.6567 	 0.9859 	 0.6786 	 0.4895 	 0.3094 	 0.1650 	 0.2911
63 	 71.6 	 67.9 	 0.0100 	 1.0478 	 0.6564 	 0.9759 	 0.6815 	 0.4886 	 0.3105 	 0.1592 	 0.2869
64 	 71.6 	 67.7 	 0.0100 	 1.0388 	 0.6585 	 0.9572 	 0.6954 	 0.4935 	 0.3073 	 0.1619 	 0.2848
65 	 73.2 	 69.2 	 0.0100 	 1.0427 	 0.6593 	 0.9545 	 0.6940 	 0.4965 	 0.3116 	 0.1686 	 0.2904
66 	 72.5 	 68.6 	 0.0100 	 1.0310 	 0.6651 	 0.9497 	 0.7019 	 0.4967 	 0.3070 	 0.1641 	 0.2852
67 	 73.4 	 69.3 	 0.0100 	 1.0375 	 0.6607 	 0.9768 	 0.6843 	 0.5016 	 0.3248 	 0.1827 	 0.3021
68 	 81.1 	 76.6 	 0.0100 	 1.0287 	 0.6628 	 0.9863 	 0.6770 	 0.4803 	 0.3002 	 0.1681 	 0.2909
69 	 78.5 	 74.0 	 0.0100 	 1.0279 	 0.6631 	 0.9867 	 0.6701 	 0.4833 	 0.3067 	 0.1728 	 0.2985
70 	 86.4 	 81.7 	 0.0100 	 1.0208 	 0.6684 	 0.9533 	 0.6905 	 0.4969 	 0.3177 	 0.1688 	 0.2917
71 	 85.1 	 80.7 	 0.0100 	 1.0211 	 0.6677 	 0.9390 	 0.6911 	 0.5084 	 0.3209 	 0.1805 	 0.3013
72 	 84.1 	 79.6 	 0.0100 	 1.0183 	 0.6665 	 0.9609 	 0.6814 	 0.4972 	 0.3161 	 0.1801 	 0.2994
73 	 86.1 	 81.3 	 0.0100 	 1.0154 	 0.6683 	 0.9577 	 0.6856 	 0.5046 	 0.3281 	 0.1902 	 0.3091
74 	 85.6 	 81.1 	 0.0010 	 1.0132 	 0.6683 	 0.9324 	 0.6944 	 0.5070 	 0.3209 	 0.1752 	 0.2967
75 	 83.6 	 79.3 	 0.0010 	 0.9480 	 0.7034 	 0.8998 	 0.7161 	 0.5241 	 0.3344 	 0.1822 	 0.2965
76 	 78.4 	 74.1 	 0.0010 	 0.9402 	 0.7092 	 0.8987 	 0.7156 	 0.5239 	 0.3357 	 0.1855 	 0.3003
77 	 78.0 	 73.9 	 0.0010 	 0.9396 	 0.7069 	 0.9018 	 0.7144 	 0.5238 	 0.3346 	 0.1879 	 0.3006
78 	 76.5 	 72.2 	 0.0010 	 0.9392 	 0.7089 	 0.8968 	 0.7174 	 0.5241 	 0.3324 	 0.1841 	 0.2995
79 	 81.1 	 77.0 	 0.0010 	 0.9390 	 0.7072 	 0.8950 	 0.7216 	 0.5226 	 0.3308 	 0.1817 	 0.2947
80 	 78.4 	 74.2 	 0.0010 	 0.9385 	 0.7073 	 0.8940 	 0.7190 	 0.5258 	 0.3307 	 0.1801 	 0.2947
81 	 77.0 	 72.5 	 0.0010 	 0.9407 	 0.7093 	 0.8948 	 0.7157 	 0.5263 	 0.3413 	 0.1877 	 0.3018
82 	 81.4 	 77.1 	 0.0010 	 0.9369 	 0.7086 	 0.9008 	 0.7152 	 0.5243 	 0.3418 	 0.1873 	 0.3020
83 	 80.5 	 76.1 	 0.0010 	 0.9380 	 0.7074 	 0.8918 	 0.7175 	 0.5229 	 0.3361 	 0.1814 	 0.2993
84 	 79.1 	 74.9 	 0.0010 	 0.9373 	 0.7113 	 0.9065 	 0.7141 	 0.5200 	 0.3295 	 0.1842 	 0.2981
85 	 77.4 	 73.2 	 0.0010 	 0.9395 	 0.7060 	 0.8984 	 0.7099 	 0.5210 	 0.3410 	 0.1896 	 0.3044
86 	 78.1 	 74.0 	 0.0010 	 0.9357 	 0.7109 	 0.8990 	 0.7113 	 0.5308 	 0.3443 	 0.1995 	 0.3115
87 	 81.2 	 76.5 	 0.0010 	 0.9366 	 0.7087 	 0.9024 	 0.7069 	 0.5312 	 0.3511 	 0.1991 	 0.3124
88 	 76.8 	 72.8 	 0.0010 	 0.9371 	 0.7089 	 0.8964 	 0.7130 	 0.5214 	 0.3255 	 0.1756 	 0.2958
89 	 78.9 	 74.9 	 0.0010 	 0.9398 	 0.7075 	 0.9082 	 0.7103 	 0.5221 	 0.3353 	 0.1869 	 0.2995
90 	 80.4 	 75.6 	 0.0010 	 0.9384 	 0.7081 	 0.8866 	 0.7208 	 0.5322 	 0.3355 	 0.1872 	 0.3014
91 	 88.7 	 83.7 	 0.0010 	 0.9392 	 0.7049 	 0.8890 	 0.7210 	 0.5333 	 0.3471 	 0.1949 	 0.3059
92 	 97.4 	 91.7 	 0.0010 	 0.9339 	 0.7090 	 0.8974 	 0.7173 	 0.5279 	 0.3346 	 0.1816 	 0.2995
93 	 89.0 	 84.4 	 0.0010 	 0.9367 	 0.7076 	 0.9001 	 0.7103 	 0.5219 	 0.3303 	 0.1775 	 0.2967
94 	 80.3 	 76.0 	 0.0010 	 0.9388 	 0.7069 	 0.8978 	 0.7096 	 0.5301 	 0.3468 	 0.1958 	 0.3098
95 	 78.8 	 74.6 	 0.0010 	 0.9375 	 0.7088 	 0.8920 	 0.7197 	 0.5304 	 0.3378 	 0.1880 	 0.3017
96 	 77.2 	 73.1 	 0.0010 	 0.9396 	 0.7059 	 0.9068 	 0.7059 	 0.5227 	 0.3427 	 0.1953 	 0.3092
97 	 78.0 	 73.9 	 0.0010 	 0.9403 	 0.7074 	 0.9071 	 0.7057 	 0.5170 	 0.3282 	 0.1807 	 0.2988
98 	 77.7 	 73.6 	 0.0010 	 0.9373 	 0.7073 	 0.8987 	 0.7091 	 0.5283 	 0.3460 	 0.2007 	 0.3123
99 	 79.1 	 75.0 	 0.0010 	 0.9369 	 0.7084 	 0.9195 	 0.7040 	 0.5156 	 0.3231 	 0.1747 	 0.2962
Total train time: 97.5008 minutes
Best Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
46 	 0.8367 	 0.7166 	 0.5738 	 0.4233 	 0.2915 	 0.3921 	 3.4010
Last Epoch 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Mean Cert 	 Test Time
99 	 0.8316 	 0.7183 	 0.5957 	 0.4604 	 0.3300 	 0.4391 	 3.4951
