Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 30.9 	 26.7 	 0.1000 	 1.8852 	 0.3385 	 1.7431 	 0.3763 	 0.1365 	 0.0296 	 0.0020 	 0.1241
1 	 30.1 	 25.5 	 0.1000 	 1.5282 	 0.4484 	 1.6662 	 0.4145 	 0.1638 	 0.0395 	 0.0054 	 0.1331
2 	 31.0 	 26.7 	 0.1000 	 1.4205 	 0.4904 	 1.5131 	 0.4590 	 0.2341 	 0.0868 	 0.0222 	 0.1713
3 	 30.4 	 25.8 	 0.1000 	 1.3580 	 0.5158 	 1.5389 	 0.4549 	 0.2489 	 0.0986 	 0.0287 	 0.1822
4 	 29.8 	 25.4 	 0.1000 	 1.2876 	 0.5440 	 1.5702 	 0.4460 	 0.2354 	 0.0966 	 0.0305 	 0.1820
5 	 33.0 	 28.3 	 0.1000 	 1.2427 	 0.5590 	 1.4694 	 0.4963 	 0.2522 	 0.0884 	 0.0222 	 0.1697
6 	 32.3 	 27.5 	 0.1000 	 1.1993 	 0.5748 	 1.5003 	 0.4712 	 0.2415 	 0.0885 	 0.0199 	 0.1714
7 	 36.4 	 31.3 	 0.1000 	 1.1781 	 0.5843 	 1.5293 	 0.4556 	 0.2361 	 0.0887 	 0.0248 	 0.1742
8 	 37.3 	 31.8 	 0.1000 	 1.1465 	 0.5967 	 1.4977 	 0.4714 	 0.2300 	 0.0774 	 0.0162 	 0.1625
9 	 38.7 	 33.1 	 0.1000 	 1.1251 	 0.6078 	 1.4116 	 0.5134 	 0.2662 	 0.0937 	 0.0231 	 0.1716
10 	 39.9 	 34.0 	 0.1000 	 1.1144 	 0.6072 	 1.3618 	 0.5289 	 0.2859 	 0.1129 	 0.0344 	 0.1836
