Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 79.0 	 71.1 	 0.1000 	 1.8162 	 0.3493 	 1.4624 	 0.4792 	 0.2298 	 0.0920 	 0.0290 	 0.1682
1 	 77.6 	 69.3 	 0.1000 	 1.5120 	 0.4593 	 1.3509 	 0.5211 	 0.3013 	 0.1413 	 0.0553 	 0.2072
2 	 80.0 	 71.8 	 0.1000 	 1.4198 	 0.4945 	 1.3113 	 0.5296 	 0.3494 	 0.1834 	 0.0793 	 0.2380
3 	 81.2 	 72.9 	 0.1000 	 1.3723 	 0.5125 	 1.2418 	 0.5648 	 0.3638 	 0.1994 	 0.0960 	 0.2450
4 	 82.0 	 73.9 	 0.1000 	 1.3173 	 0.5389 	 1.2613 	 0.5611 	 0.3438 	 0.1825 	 0.0905 	 0.2371
5 	 82.3 	 73.9 	 0.1000 	 1.2876 	 0.5483 	 1.1882 	 0.5869 	 0.3795 	 0.2149 	 0.0935 	 0.2421
6 	 82.7 	 74.2 	 0.1000 	 1.2652 	 0.5600 	 1.2012 	 0.5746 	 0.3887 	 0.2341 	 0.1151 	 0.2647
7 	 83.2 	 74.4 	 0.1000 	 1.2455 	 0.5689 	 1.1572 	 0.5930 	 0.4014 	 0.2358 	 0.1240 	 0.2669
8 	 83.4 	 75.0 	 0.1000 	 1.2270 	 0.5725 	 1.1492 	 0.6068 	 0.3976 	 0.2186 	 0.0993 	 0.2440
9 	 83.2 	 74.7 	 0.1000 	 1.2183 	 0.5791 	 1.1090 	 0.6200 	 0.4314 	 0.2489 	 0.1229 	 0.2669
10 	 83.8 	 75.5 	 0.1000 	 1.2033 	 0.5853 	 1.1227 	 0.6129 	 0.4148 	 0.2414 	 0.1233 	 0.2630
11 	 83.6 	 74.9 	 0.1000 	 1.1933 	 0.5877 	 1.0802 	 0.6343 	 0.4362 	 0.2541 	 0.1320 	 0.2698
12 	 83.7 	 75.4 	 0.1000 	 1.1789 	 0.5941 	 1.0940 	 0.6328 	 0.4314 	 0.2494 	 0.1298 	 0.2674
13 	 83.7 	 75.0 	 0.1000 	 1.1832 	 0.5937 	 1.0943 	 0.6220 	 0.4456 	 0.2756 	 0.1494 	 0.2919
14 	 83.9 	 75.5 	 0.1000 	 1.1773 	 0.5939 	 1.0830 	 0.6299 	 0.4342 	 0.2599 	 0.1395 	 0.2750
15 	 83.8 	 75.3 	 0.1000 	 1.1655 	 0.6036 	 1.1218 	 0.6078 	 0.4232 	 0.2579 	 0.1326 	 0.2781
16 	 83.7 	 75.2 	 0.1000 	 1.1616 	 0.6062 	 1.1513 	 0.6091 	 0.4435 	 0.2825 	 0.1586 	 0.2993
17 	 84.3 	 75.5 	 0.1000 	 1.1587 	 0.6033 	 1.0453 	 0.6475 	 0.4540 	 0.2768 	 0.1412 	 0.2768
18 	 83.6 	 75.1 	 0.1000 	 1.1530 	 0.6055 	 1.1894 	 0.5876 	 0.4236 	 0.2766 	 0.1561 	 0.3022
19 	 84.1 	 75.5 	 0.1000 	 1.1462 	 0.6083 	 1.0415 	 0.6481 	 0.4537 	 0.2831 	 0.1519 	 0.2823
20 	 84.5 	 75.9 	 0.1000 	 1.1352 	 0.6136 	 1.0416 	 0.6475 	 0.4632 	 0.2938 	 0.1651 	 0.2941
21 	 84.5 	 75.8 	 0.1000 	 1.1386 	 0.6109 	 1.0806 	 0.6317 	 0.4519 	 0.2840 	 0.1520 	 0.2879
22 	 83.2 	 74.5 	 0.1000 	 1.1462 	 0.6081 	 1.0718 	 0.6323 	 0.4458 	 0.2771 	 0.1473 	 0.2838
23 	 84.1 	 75.8 	 0.1000 	 1.1298 	 0.6174 	 1.0455 	 0.6537 	 0.4537 	 0.2751 	 0.1504 	 0.2794
24 	 84.2 	 75.7 	 0.1000 	 1.1330 	 0.6144 	 1.0850 	 0.6399 	 0.4305 	 0.2580 	 0.1402 	 0.2743
25 	 84.3 	 75.8 	 0.1000 	 1.1276 	 0.6166 	 1.0826 	 0.6312 	 0.4355 	 0.2616 	 0.1312 	 0.2726
26 	 84.7 	 76.2 	 0.1000 	 1.1233 	 0.6181 	 1.0310 	 0.6541 	 0.4583 	 0.2700 	 0.1420 	 0.2766
27 	 84.9 	 76.2 	 0.1000 	 1.1270 	 0.6167 	 1.0676 	 0.6480 	 0.4529 	 0.2733 	 0.1398 	 0.2765
28 	 84.0 	 75.6 	 0.1000 	 1.1225 	 0.6168 	 1.0908 	 0.6315 	 0.4307 	 0.2612 	 0.1461 	 0.2853
29 	 84.4 	 75.9 	 0.1000 	 1.1214 	 0.6168 	 1.0759 	 0.6297 	 0.4449 	 0.2803 	 0.1565 	 0.2898
30 	 84.7 	 76.5 	 0.1000 	 1.1188 	 0.6220 	 1.0428 	 0.6388 	 0.4514 	 0.2861 	 0.1652 	 0.2933
31 	 84.2 	 75.8 	 0.1000 	 1.1166 	 0.6211 	 1.0412 	 0.6439 	 0.4576 	 0.2863 	 0.1531 	 0.2869
