Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 45.4 	 37.5 	 0.1000 	 1.9254 	 0.3317 	 1.9270 	 0.3207 	 0.1125 	 0.0276 	 0.0042 	 0.1255
1 	 44.6 	 36.7 	 0.1000 	 1.5360 	 0.4464 	 1.7649 	 0.3625 	 0.1491 	 0.0435 	 0.0094 	 0.1420
2 	 44.6 	 36.7 	 0.1000 	 1.4269 	 0.4874 	 1.7676 	 0.3739 	 0.2055 	 0.0897 	 0.0332 	 0.1930
3 	 45.0 	 37.1 	 0.1000 	 1.3582 	 0.5185 	 1.6966 	 0.4028 	 0.2043 	 0.0730 	 0.0178 	 0.1687
4 	 45.4 	 37.3 	 0.1000 	 1.2893 	 0.5439 	 1.6527 	 0.4303 	 0.2185 	 0.0952 	 0.0323 	 0.1808
5 	 45.6 	 37.3 	 0.1000 	 1.2465 	 0.5586 	 1.5483 	 0.4677 	 0.2536 	 0.1000 	 0.0280 	 0.1816
6 	 45.4 	 37.5 	 0.1000 	 1.2092 	 0.5727 	 1.6069 	 0.4319 	 0.2270 	 0.0878 	 0.0226 	 0.1762
7 	 45.5 	 37.4 	 0.1000 	 1.1846 	 0.5843 	 1.6690 	 0.4167 	 0.2083 	 0.0739 	 0.0192 	 0.1671
8 	 45.7 	 37.6 	 0.1000 	 1.1540 	 0.5917 	 1.6157 	 0.4384 	 0.2112 	 0.0726 	 0.0189 	 0.1621
9 	 46.2 	 37.9 	 0.1000 	 1.1380 	 0.6004 	 1.5099 	 0.4754 	 0.2465 	 0.0875 	 0.0210 	 0.1713
10 	 47.0 	 38.3 	 0.1000 	 1.1201 	 0.6065 	 1.5143 	 0.4621 	 0.2400 	 0.0910 	 0.0228 	 0.1742
11 	 47.8 	 38.8 	 0.1000 	 1.1022 	 0.6136 	 1.4282 	 0.5181 	 0.2674 	 0.0985 	 0.0265 	 0.1740
12 	 47.8 	 39.4 	 0.1000 	 1.0901 	 0.6193 	 1.5923 	 0.4581 	 0.2245 	 0.0849 	 0.0229 	 0.1669
13 	 47.9 	 39.0 	 0.1000 	 1.0879 	 0.6212 	 1.4412 	 0.5061 	 0.2698 	 0.1049 	 0.0327 	 0.1800
14 	 48.2 	 39.7 	 0.1000 	 1.0768 	 0.6237 	 1.5160 	 0.4569 	 0.2353 	 0.1064 	 0.0396 	 0.1875
15 	 48.4 	 39.6 	 0.1000 	 1.0651 	 0.6301 	 1.5218 	 0.4708 	 0.2427 	 0.0842 	 0.0219 	 0.1702
16 	 48.6 	 39.7 	 0.1000 	 1.0548 	 0.6334 	 1.4989 	 0.4901 	 0.2563 	 0.0992 	 0.0276 	 0.1779
17 	 48.8 	 40.2 	 0.1000 	 1.0560 	 0.6335 	 1.5307 	 0.4716 	 0.2341 	 0.0812 	 0.0181 	 0.1644
