Namespace(batch_size=128, epochs=200, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 28.0 	 26.3 	 0.1000 	 1.8852 	 0.3385 	 1.4788 	 0.4709 	 0.2264 	 0.0764 	 0.0176 	 0.1608
1 	 26.7 	 25.1 	 0.1000 	 1.5282 	 0.4484 	 1.3830 	 0.5111 	 0.2851 	 0.1336 	 0.0548 	 0.2046
2 	 26.5 	 24.8 	 0.1000 	 1.4205 	 0.4904 	 1.2819 	 0.5373 	 0.3596 	 0.2005 	 0.0910 	 0.2501
3 	 26.4 	 24.7 	 0.1000 	 1.3580 	 0.5158 	 1.2037 	 0.5733 	 0.3964 	 0.2403 	 0.1223 	 0.2732
4 	 26.6 	 25.2 	 0.1000 	 1.2876 	 0.5440 	 1.2006 	 0.5752 	 0.3755 	 0.2325 	 0.1293 	 0.2766
5 	 26.0 	 24.4 	 0.1000 	 1.2427 	 0.5590 	 1.0926 	 0.6147 	 0.4263 	 0.2593 	 0.1352 	 0.2750
6 	 26.1 	 24.5 	 0.1000 	 1.1993 	 0.5748 	 1.1051 	 0.6088 	 0.4270 	 0.2638 	 0.1463 	 0.2859
7 	 25.5 	 23.9 	 0.1000 	 1.1781 	 0.5843 	 1.0318 	 0.6350 	 0.4656 	 0.3059 	 0.1793 	 0.3150
8 	 25.3 	 23.8 	 0.1000 	 1.1465 	 0.5967 	 1.0481 	 0.6333 	 0.4475 	 0.2832 	 0.1577 	 0.2938
9 	 25.5 	 23.9 	 0.1000 	 1.1251 	 0.6078 	 1.0145 	 0.6486 	 0.4804 	 0.3209 	 0.1901 	 0.3232
10 	 25.7 	 24.1 	 0.1000 	 1.1144 	 0.6072 	 1.0108 	 0.6527 	 0.4846 	 0.3124 	 0.1845 	 0.3164
11 	 25.6 	 24.0 	 0.1000 	 1.0933 	 0.6164 	 0.9914 	 0.6549 	 0.4903 	 0.3374 	 0.2178 	 0.3421
12 	 26.2 	 24.6 	 0.1000 	 1.0857 	 0.6179 	 0.9604 	 0.6713 	 0.5039 	 0.3393 	 0.2127 	 0.3336
13 	 26.3 	 24.6 	 0.1000 	 1.0783 	 0.6240 	 0.9958 	 0.6593 	 0.5082 	 0.3639 	 0.2346 	 0.3692
14 	 26.5 	 25.0 	 0.1000 	 1.0682 	 0.6270 	 1.0393 	 0.6337 	 0.4732 	 0.3262 	 0.2107 	 0.3486
15 	 26.7 	 25.2 	 0.1000 	 1.0595 	 0.6298 	 1.0091 	 0.6460 	 0.4926 	 0.3414 	 0.2145 	 0.3452
16 	 27.3 	 25.6 	 0.1000 	 1.0508 	 0.6349 	 1.0115 	 0.6523 	 0.5118 	 0.3692 	 0.2524 	 0.3818
17 	 27.4 	 25.9 	 0.1000 	 1.0503 	 0.6332 	 0.9737 	 0.6616 	 0.4977 	 0.3400 	 0.2121 	 0.3390
18 	 27.3 	 25.8 	 0.1000 	 1.0395 	 0.6371 	 1.0371 	 0.6411 	 0.5049 	 0.3576 	 0.2415 	 0.3738
19 	 27.7 	 26.1 	 0.1000 	 1.0341 	 0.6395 	 0.9528 	 0.6673 	 0.5041 	 0.3452 	 0.2158 	 0.3397
20 	 28.0 	 26.3 	 0.1000 	 1.0320 	 0.6394 	 0.9327 	 0.6822 	 0.5195 	 0.3670 	 0.2315 	 0.3515
21 	 27.7 	 26.0 	 0.1000 	 1.0264 	 0.6417 	 0.9915 	 0.6559 	 0.4971 	 0.3415 	 0.2146 	 0.3460
22 	 27.6 	 25.7 	 0.1000 	 1.0251 	 0.6426 	 0.9202 	 0.6816 	 0.5196 	 0.3598 	 0.2296 	 0.3509
23 	 28.1 	 26.5 	 0.1000 	 1.0153 	 0.6451 	 0.9292 	 0.6770 	 0.5189 	 0.3627 	 0.2342 	 0.3609
24 	 28.2 	 26.6 	 0.1000 	 1.0139 	 0.6460 	 0.9779 	 0.6627 	 0.4936 	 0.3371 	 0.2126 	 0.3415
25 	 28.7 	 26.9 	 0.1000 	 1.0126 	 0.6480 	 0.9639 	 0.6642 	 0.5027 	 0.3506 	 0.2300 	 0.3522
26 	 28.2 	 26.4 	 0.1000 	 0.9994 	 0.6524 	 0.9309 	 0.6821 	 0.5201 	 0.3582 	 0.2224 	 0.3497
27 	 28.7 	 27.1 	 0.1000 	 1.0078 	 0.6480 	 0.9408 	 0.6716 	 0.5151 	 0.3562 	 0.2275 	 0.3539
28 	 28.4 	 26.8 	 0.1000 	 0.9970 	 0.6526 	 0.9405 	 0.6748 	 0.5157 	 0.3611 	 0.2361 	 0.3686
29 	 28.7 	 26.9 	 0.1000 	 1.0099 	 0.6474 	 0.9810 	 0.6592 	 0.5016 	 0.3547 	 0.2368 	 0.3617
30 	 28.9 	 27.1 	 0.1000 	 0.9936 	 0.6557 	 0.9058 	 0.6827 	 0.5283 	 0.3791 	 0.2511 	 0.3691
31 	 28.6 	 26.7 	 0.1000 	 0.9911 	 0.6541 	 0.9303 	 0.6743 	 0.5186 	 0.3692 	 0.2462 	 0.3673
32 	 28.6 	 27.0 	 0.1000 	 0.9902 	 0.6545 	 0.9602 	 0.6702 	 0.5104 	 0.3529 	 0.2228 	 0.3550
33 	 29.0 	 27.1 	 0.1000 	 0.9954 	 0.6546 	 0.9105 	 0.6863 	 0.5302 	 0.3832 	 0.2494 	 0.3664
34 	 29.3 	 27.5 	 0.1000 	 0.9918 	 0.6568 	 0.9173 	 0.6824 	 0.5322 	 0.3886 	 0.2600 	 0.3791
35 	 28.9 	 27.1 	 0.1000 	 0.9894 	 0.6553 	 0.8795 	 0.6947 	 0.5455 	 0.3922 	 0.2543 	 0.3719
36 	 29.3 	 27.4 	 0.1000 	 0.9799 	 0.6578 	 0.9315 	 0.6771 	 0.5277 	 0.3759 	 0.2564 	 0.3836
37 	 28.8 	 27.2 	 0.1000 	 0.9833 	 0.6579 	 0.9314 	 0.6777 	 0.5171 	 0.3669 	 0.2341 	 0.3588
38 	 30.2 	 27.7 	 0.1000 	 0.9855 	 0.6570 	 0.8898 	 0.6920 	 0.5477 	 0.4017 	 0.2695 	 0.3885
39 	 28.9 	 27.3 	 0.1000 	 0.9824 	 0.6581 	 0.9250 	 0.6756 	 0.5193 	 0.3711 	 0.2443 	 0.3685
40 	 28.9 	 27.0 	 0.1000 	 0.9796 	 0.6603 	 0.9171 	 0.6790 	 0.5273 	 0.3831 	 0.2485 	 0.3746
41 	 29.5 	 27.8 	 0.1000 	 0.9861 	 0.6568 	 0.9456 	 0.6646 	 0.5304 	 0.3887 	 0.2687 	 0.4075
42 	 29.6 	 28.0 	 0.1000 	 0.9764 	 0.6614 	 0.9406 	 0.6732 	 0.5471 	 0.4172 	 0.2909 	 0.4208
43 	 29.3 	 27.6 	 0.1000 	 0.9820 	 0.6581 	 0.9293 	 0.6754 	 0.5343 	 0.3969 	 0.2758 	 0.3989
44 	 28.9 	 27.3 	 0.1000 	 0.9859 	 0.6580 	 0.9385 	 0.6733 	 0.5098 	 0.3512 	 0.2220 	 0.3505
45 	 28.6 	 27.0 	 0.1000 	 0.9719 	 0.6608 	 0.9254 	 0.6760 	 0.5408 	 0.4019 	 0.2828 	 0.4086
46 	 29.9 	 28.2 	 0.1000 	 0.9716 	 0.6608 	 0.9019 	 0.6970 	 0.5433 	 0.3928 	 0.2553 	 0.3741
47 	 28.3 	 26.7 	 0.1000 	 0.9731 	 0.6611 	 0.8694 	 0.7014 	 0.5463 	 0.3833 	 0.2519 	 0.3643
48 	 29.4 	 27.5 	 0.1000 	 0.9723 	 0.6627 	 0.8622 	 0.6955 	 0.5556 	 0.4106 	 0.2774 	 0.3972
49 	 29.2 	 27.1 	 0.1000 	 0.9695 	 0.6616 	 0.8959 	 0.6913 	 0.5608 	 0.4100 	 0.2798 	 0.4031
50 	 30.0 	 28.3 	 0.1000 	 0.9663 	 0.6631 	 0.9237 	 0.6801 	 0.5137 	 0.3592 	 0.2327 	 0.3591
51 	 29.2 	 27.6 	 0.1000 	 0.9687 	 0.6633 	 0.8925 	 0.6886 	 0.5470 	 0.4052 	 0.2843 	 0.4027
52 	 29.5 	 27.8 	 0.1000 	 0.9759 	 0.6598 	 0.9564 	 0.6602 	 0.5350 	 0.4107 	 0.2935 	 0.4297
53 	 29.6 	 27.9 	 0.1000 	 0.9811 	 0.6587 	 0.8916 	 0.6899 	 0.5429 	 0.3878 	 0.2557 	 0.3756
54 	 29.0 	 27.4 	 0.1000 	 0.9733 	 0.6607 	 0.9158 	 0.6772 	 0.5332 	 0.3827 	 0.2589 	 0.3861
55 	 29.1 	 27.3 	 0.1000 	 0.9651 	 0.6662 	 0.9140 	 0.6900 	 0.5304 	 0.3749 	 0.2477 	 0.3732
56 	 29.5 	 27.9 	 0.1000 	 0.9700 	 0.6641 	 0.8963 	 0.6936 	 0.5381 	 0.3838 	 0.2614 	 0.3806
