Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O0', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 86.4 	 77.8 	 0.1000 	 1.8040 	 0.3535 	 1.4585 	 0.4843 	 0.2488 	 0.0989 	 0.0323 	 0.1766
1 	 86.4 	 78.2 	 0.1000 	 1.5156 	 0.4589 	 1.3603 	 0.5160 	 0.2942 	 0.1437 	 0.0583 	 0.2087
2 	 87.5 	 78.2 	 0.1000 	 1.4287 	 0.4941 	 1.3044 	 0.5382 	 0.3356 	 0.1743 	 0.0692 	 0.2254
3 	 85.6 	 77.5 	 0.1000 	 1.3868 	 0.5097 	 1.2597 	 0.5624 	 0.3622 	 0.1939 	 0.0858 	 0.2385
4 	 88.8 	 80.0 	 0.1000 	 1.3425 	 0.5296 	 1.2453 	 0.5721 	 0.3365 	 0.1772 	 0.0835 	 0.2246
5 	 92.1 	 83.5 	 0.1000 	 1.3145 	 0.5376 	 1.2407 	 0.5705 	 0.3586 	 0.1862 	 0.0744 	 0.2275
6 	 89.5 	 80.5 	 0.1000 	 1.2901 	 0.5529 	 1.2098 	 0.5765 	 0.3747 	 0.2103 	 0.1014 	 0.2476
7 	 89.0 	 80.1 	 0.1000 	 1.2699 	 0.5614 	 1.1526 	 0.6068 	 0.3993 	 0.2313 	 0.1093 	 0.2527
8 	 90.6 	 81.8 	 0.1000 	 1.2529 	 0.5660 	 1.1744 	 0.5951 	 0.3806 	 0.2051 	 0.0923 	 0.2381
9 	 91.9 	 83.0 	 0.1000 	 1.2425 	 0.5711 	 1.1530 	 0.6026 	 0.3940 	 0.2247 	 0.1060 	 0.2489
10 	 91.7 	 82.8 	 0.1000 	 1.2268 	 0.5780 	 1.1807 	 0.5921 	 0.3976 	 0.2255 	 0.1085 	 0.2548
11 	 92.0 	 83.1 	 0.1000 	 1.2219 	 0.5794 	 1.1271 	 0.6174 	 0.4130 	 0.2412 	 0.1203 	 0.2631
12 	 93.2 	 84.5 	 0.1000 	 1.2119 	 0.5848 	 1.1414 	 0.6144 	 0.4059 	 0.2312 	 0.1109 	 0.2546
13 	 93.5 	 84.0 	 0.1000 	 1.2093 	 0.5849 	 1.1176 	 0.6157 	 0.4285 	 0.2581 	 0.1350 	 0.2777
14 	 91.1 	 82.4 	 0.1000 	 1.2040 	 0.5873 	 1.1445 	 0.6083 	 0.4074 	 0.2381 	 0.1199 	 0.2638
15 	 91.1 	 82.3 	 0.1000 	 1.1957 	 0.5921 	 1.1606 	 0.5920 	 0.4081 	 0.2466 	 0.1371 	 0.2766
16 	 90.2 	 81.4 	 0.1000 	 1.1931 	 0.5960 	 1.1585 	 0.6093 	 0.4295 	 0.2641 	 0.1447 	 0.2814
17 	 90.1 	 81.3 	 0.1000 	 1.1915 	 0.5929 	 1.0937 	 0.6299 	 0.4282 	 0.2498 	 0.1213 	 0.2619
18 	 90.6 	 82.1 	 0.1000 	 1.1834 	 0.5967 	 1.2198 	 0.5748 	 0.4141 	 0.2600 	 0.1422 	 0.2935
19 	 90.7 	 82.0 	 0.1000 	 1.1801 	 0.5992 	 1.0758 	 0.6385 	 0.4386 	 0.2638 	 0.1336 	 0.2704
20 	 90.6 	 81.9 	 0.1000 	 1.1678 	 0.6042 	 1.0736 	 0.6310 	 0.4450 	 0.2757 	 0.1457 	 0.2834
21 	 90.5 	 82.1 	 0.1000 	 1.1729 	 0.6009 	 1.1171 	 0.6146 	 0.4372 	 0.2701 	 0.1416 	 0.2829
22 	 89.9 	 81.3 	 0.1000 	 1.1718 	 0.6037 	 1.1060 	 0.6192 	 0.4262 	 0.2508 	 0.1246 	 0.2664
23 	 90.4 	 81.9 	 0.1000 	 1.1614 	 0.6064 	 1.0873 	 0.6365 	 0.4253 	 0.2489 	 0.1250 	 0.2613
24 	 90.4 	 81.6 	 0.1000 	 1.1650 	 0.6028 	 1.1063 	 0.6308 	 0.4168 	 0.2410 	 0.1265 	 0.2621
25 	 90.2 	 81.5 	 0.1000 	 1.1586 	 0.6060 	 1.1078 	 0.6271 	 0.4154 	 0.2438 	 0.1177 	 0.2579
26 	 90.3 	 81.7 	 0.1000 	 1.1557 	 0.6095 	 1.0837 	 0.6329 	 0.4313 	 0.2485 	 0.1212 	 0.2617
27 	 90.4 	 81.7 	 0.1000 	 1.1634 	 0.6047 	 1.0881 	 0.6394 	 0.4309 	 0.2511 	 0.1184 	 0.2600
28 	 89.6 	 80.9 	 0.1000 	 1.1551 	 0.6061 	 1.1351 	 0.6151 	 0.4122 	 0.2491 	 0.1381 	 0.2765
29 	 94.6 	 85.5 	 0.1000 	 1.1536 	 0.6102 	 1.1364 	 0.6120 	 0.4169 	 0.2571 	 0.1378 	 0.2791
30 	 92.6 	 83.8 	 0.1000 	 1.1530 	 0.6100 	 1.0722 	 0.6308 	 0.4446 	 0.2781 	 0.1543 	 0.2863
31 	 94.7 	 85.4 	 0.1000 	 1.1479 	 0.6121 	 1.0866 	 0.6333 	 0.4325 	 0.2609 	 0.1335 	 0.2698
32 	 93.5 	 84.6 	 0.1000 	 1.1468 	 0.6118 	 1.0932 	 0.6333 	 0.4376 	 0.2675 	 0.1464 	 0.2836
33 	 99.4 	 90.7 	 0.1000 	 1.1476 	 0.6089 	 1.0890 	 0.6308 	 0.4366 	 0.2621 	 0.1319 	 0.2690
34 	 111.4 	 100.4 	 0.1000 	 1.1525 	 0.6107 	 1.0774 	 0.6325 	 0.4492 	 0.2860 	 0.1519 	 0.2900
35 	 113.4 	 102.5 	 0.1000 	 1.1444 	 0.6134 	 1.0853 	 0.6283 	 0.4414 	 0.2697 	 0.1493 	 0.2849
36 	 115.4 	 104.0 	 0.1000 	 1.1415 	 0.6141 	 1.0643 	 0.6486 	 0.4444 	 0.2680 	 0.1404 	 0.2742
37 	 115.2 	 104.3 	 0.1000 	 1.1451 	 0.6148 	 1.1021 	 0.6174 	 0.4284 	 0.2624 	 0.1408 	 0.2809
38 	 118.9 	 107.0 	 0.1000 	 1.1419 	 0.6127 	 1.0630 	 0.6367 	 0.4557 	 0.2900 	 0.1677 	 0.2967
39 	 116.6 	 106.1 	 0.1000 	 1.1390 	 0.6126 	 1.0536 	 0.6417 	 0.4508 	 0.2735 	 0.1447 	 0.2810
40 	 108.0 	 96.7 	 0.1000 	 1.1384 	 0.6147 	 1.0420 	 0.6490 	 0.4547 	 0.2733 	 0.1502 	 0.2816
41 	 112.5 	 101.2 	 0.1000 	 1.1421 	 0.6114 	 1.0552 	 0.6481 	 0.4490 	 0.2728 	 0.1479 	 0.2798
42 	 112.8 	 101.9 	 0.1000 	 1.1391 	 0.6149 	 1.0937 	 0.6296 	 0.4521 	 0.2897 	 0.1506 	 0.2899
