Namespace(batch_size=128, epochs=100, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, gamma=0.0, opt_level='O2', loss_scale='1.0', conv_layer='soc', init_channels=32, activation='maxmin', block_size=1, lln=False, data_dir='./cifar-data', dataset='cifar10', epsilon=36, out_dir='LipConvnet_cifar10_1_soc_32_maxmin_cr0.0', seed=0)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 Test Robust (36) 	 Test Robust (72) 	 Test Robust (108) 	 Test Cert
0 	 51.1 	 0.1000 	 1.8115 	 0.3539 	 1.4625 	 0.4805 	 0.2441 	 0.0978 	 0.0289 	 0.1757
1 	 53.3 	 0.1000 	 1.5138 	 0.4592 	 1.3614 	 0.5188 	 0.2975 	 0.1487 	 0.0624 	 0.2115
2 	 51.8 	 0.1000 	 1.4234 	 0.4940 	 1.2996 	 0.5371 	 0.3489 	 0.1901 	 0.0782 	 0.2391
3 	 53.4 	 0.1000 	 1.3697 	 0.5158 	 1.2517 	 0.5660 	 0.3627 	 0.1986 	 0.0903 	 0.2418
4 	 54.9 	 0.1000 	 1.3211 	 0.5373 	 1.2683 	 0.5500 	 0.3346 	 0.1752 	 0.0829 	 0.2306
5 	 56.0 	 0.1000 	 1.2867 	 0.5492 	 1.1716 	 0.5897 	 0.3908 	 0.2193 	 0.1021 	 0.2497
6 	 55.6 	 0.1000 	 1.2568 	 0.5656 	 1.1615 	 0.5966 	 0.4031 	 0.2379 	 0.1257 	 0.2659
7 	 52.7 	 0.1000 	 1.2359 	 0.5734 	 1.1390 	 0.6123 	 0.4097 	 0.2417 	 0.1248 	 0.2642
8 	 54.9 	 0.1000 	 1.2178 	 0.5786 	 1.1512 	 0.5977 	 0.4027 	 0.2306 	 0.1078 	 0.2556
9 	 56.3 	 0.1000 	 1.2112 	 0.5836 	 1.0968 	 0.6267 	 0.4328 	 0.2562 	 0.1259 	 0.2670
10 	 55.1 	 0.1000 	 1.1968 	 0.5890 	 1.1172 	 0.6189 	 0.4178 	 0.2420 	 0.1199 	 0.2615
11 	 54.4 	 0.1000 	 1.1829 	 0.5917 	 1.0707 	 0.6451 	 0.4422 	 0.2568 	 0.1324 	 0.2684
12 	 53.9 	 0.1000 	 1.1760 	 0.5939 	 1.0997 	 0.6229 	 0.4271 	 0.2531 	 0.1315 	 0.2748
13 	 54.2 	 0.1000 	 1.1781 	 0.5972 	 1.1007 	 0.6218 	 0.4378 	 0.2684 	 0.1496 	 0.2893
14 	 56.0 	 0.1000 	 1.1677 	 0.6005 	 1.0983 	 0.6212 	 0.4265 	 0.2585 	 0.1385 	 0.2786
15 	 55.4 	 0.1000 	 1.1614 	 0.6024 	 1.1068 	 0.6144 	 0.4379 	 0.2726 	 0.1528 	 0.2922
16 	 57.0 	 0.1000 	 1.1573 	 0.6080 	 1.1344 	 0.6103 	 0.4403 	 0.2859 	 0.1634 	 0.3017
17 	 58.5 	 0.1000 	 1.1598 	 0.6046 	 1.0644 	 0.6436 	 0.4493 	 0.2673 	 0.1397 	 0.2757
18 	 56.0 	 0.1000 	 1.1499 	 0.6073 	 1.1731 	 0.5942 	 0.4287 	 0.2796 	 0.1630 	 0.3081
19 	 54.5 	 0.1000 	 1.1464 	 0.6118 	 1.0343 	 0.6565 	 0.4545 	 0.2755 	 0.1430 	 0.2768
20 	 54.5 	 0.1000 	 1.1348 	 0.6142 	 1.0490 	 0.6431 	 0.4666 	 0.2991 	 0.1664 	 0.2980
21 	 53.1 	 0.1000 	 1.1393 	 0.6126 	 1.0992 	 0.6240 	 0.4457 	 0.2786 	 0.1539 	 0.2897
22 	 56.6 	 0.1000 	 1.1425 	 0.6122 	 1.0719 	 0.6308 	 0.4509 	 0.2843 	 0.1540 	 0.2893
23 	 58.4 	 0.1000 	 1.1323 	 0.6167 	 1.0327 	 0.6579 	 0.4565 	 0.2786 	 0.1443 	 0.2761
24 	 54.4 	 0.1000 	 1.1336 	 0.6154 	 1.0501 	 0.6547 	 0.4481 	 0.2678 	 0.1432 	 0.2753
25 	 57.9 	 0.1000 	 1.1264 	 0.6168 	 1.0716 	 0.6388 	 0.4336 	 0.2595 	 0.1346 	 0.2725
26 	 59.1 	 0.1000 	 1.1216 	 0.6192 	 1.0415 	 0.6536 	 0.4572 	 0.2686 	 0.1356 	 0.2717
